sample,year,cumulative_progress,progress_rate,bottleneck_stage
14,2036.0,28.45068317406601,3.1333837139264866,7.0
14,2037.0,31.681562354414524,3.230879180348513,7.0
14,2038.0,34.997917570256014,3.316355215841493,7.0
14,2039.0,38.388552629462744,3.3906350592067325,7.0
14,2040.0,41.843173635739305,3.4546210062765628,7.0
14,2041.0,45.352433330122494,3.5092596943831897,7.0
14,2042.0,48.907944708852185,3.555511378729693,7.0
14,2043.0,52.50226845441578,3.594323745563593,7.0
14,2044.0,56.128878986430564,3.6266105320147854,7.0
14,2045.0,59.78211395408279,3.653234967652225,7.0
14,2046.0,63.45711178638802,3.674997832305233,7.0
14,2047.0,67.14974153473737,3.6926297483493546,7.0
14,2048.0,70.8565287334444,3.7067871987070284,7.0
14,2049.0,74.57458041839531,3.718051684950913,7.0
14,2050.0,78.30151182820559,3.7269314098102706,7.0
15,2024.0,1.0,1.0,7.0
15,2025.0,2.137228101420308,1.1372281014203083,7.0
15,2026.0,3.4085235099747315,1.2712954085544235,7.0
15,2027.0,4.810080639489374,1.4015571295146423,7.0
15,2028.0,6.337523848748634,1.5274432092592605,7.0
15,2029.0,7.9859846214093455,1.648460772660712,7.0
15,2030.0,9.750180044114108,1.7641954227047631,7.0
15,2031.0,11.62449143572101,1.8743113916069025,7.0
15,2032.0,13.603042003620459,1.9785505678994482,7.0
15,2033.0,15.679772450988468,2.076730447368009,7.0
15,2034.0,17.84851353027969,2.1687410792912196,7.0
15,2035.0,20.10305463125995,2.254541100980262,7.0
15,2036.0,22.43720760366105,2.334152972401098,7.0
15,2037.0,24.84486514172312,2.407657538062069,7.0
15,2038.0,27.320053196578872,2.4751880548557543,7.0
15,2039.0,29.856977028377752,2.5369238317988816,7.0
15,2040.0,32.45006065880585,2.5930836304281004,7.0
15,2041.0,35.09397963177736,2.643918972971506,7.0
15,2042.0,37.7836871312728,2.68970749949544,7.0
15,2043.0,40.51443363663794,2.73074650536514,7.0
15,2044.0,43.281780413691166,2.7673467770532265,7.0
15,2045.0,46.08160724189961,2.7998268282084458,7.0
15,2046.0,48.910114861581114,2.8285076196815035,7.0
15,2047.0,51.76382268925886,2.8537078276777423,7.0
15,2048.0,54.63956239342728,2.875739704168425,7.0
15,2049.0,57.53446794735017,2.8949055539228907,7.0
15,2050.0,60.445962781092334,2.911494833742158,7.0
16,2024.0,1.0,1.0,7.0
16,2025.0,2.18952461543403,1.18952461543403,7.0
16,2026.0,3.564410396651261,1.374885781217231,7.0
16,2027.0,5.11873555656,1.5543251599087389,7.0
16,2028.0,6.845072175931529,1.7263366193715295,7.0
16,2029.0,8.734747292544702,1.8896751166131727,7.0
16,2030.0,10.77810640350172,2.043359110957019,7.0
16,2031.0,12.964773050544787,2.186666647043067,7.0
16,2032.0,15.283898530631516,2.3191254800867296,7.0
16,2033.0,17.724396360891934,2.4404978302604166,7.0
16,2034.0,20.275156899011147,2.550760538119212,7.0
16,2035.0,22.925238437415075,2.650081538403928,7.0
16,2036.0,25.664032104911524,2.7387936674964486,7.0
16,2037.0,28.481398970446538,2.817366865535014,7.0
